"D004";"3003";"0000";"02";"5E";"02";"00";"OUTDOOR";Palma
"0003";"1004";"0000";"00";"2E";"00";"00";"OUTDOOR";Palma (near Gothic)
"D006";"1006";"0000";"0A";"67";"01";"00";"OUTDOOR";Palma (near Drasgow)
"0006";"3001";"0000";"00";"15";"03";"00";"OUTDOOR";Palma (near Baya Marlay)
"C005";"1002";"0101";"00";"2E";"00";"00";"OUTDOOR";Motavia
"0004";"6002";"0101";"02";"5E";"02";"00";"OUTDOOR";Motavia (Perseus Island)
"4002";"5005";"0202";"22";"25";"03";"00";"OUTDOOR";Dezoris
"9000";"3005";"0202";"30";"87";"00";"00";"OUTDOOR";Dezoris (near 3-rd cavern passageway)
"7000";"1004";"0202";"32";"59";"00";"00";"OUTDOOR";Dezoris (near 4-rd cavern passageway)
"1004";"2003";"0202";"31";"1C";"01";"00";"OUTDOOR";Dezoris (near Twintown)
"9004";"B007";"0202";"3A";"79";"03";"00";"OUTDOOR";Dezoris (near Guaron Morgue)
"D002";"7000";"0202";"30";"2E";"00";"00";"OUTDOOR";Dezoris (near Corona Tower)
"4006";"5001";"0404";"00";"00";"00";"00";"OUTDOOR";Camineet
"6001";"1006";"0406";"02";"5E";"02";"00";"OUTDOOR";Parolit
"4002";"7001";"0405";"02";"5E";"02";"00";"OUTDOOR";Palma Spaceport
"5002";"A000";"0507";"00";"2E";"00";"00";"OUTDOOR";Gothic
"F003";"A001";"0508";"02";"5E";"02";"00";"OUTDOOR";Eppi
"9005";"4001";"0509";"16";"21";"00";"00";"OUTDOOR";Lore
"9001";"4005";"050A";"02";"12";"03";"00";"OUTDOOR";Avion
"9003";"4004";"050B";"00";"2E";"00";"00";"OUTDOOR";Bortevo
"1001";"5001";"060C";"0A";"67";"01";"00";"OUTDOOR";Drasgow
"8001";"4002";"070E";"02";"5E";"02";"00";"OUTDOOR";Paseo
"7001";"A000";"070E";"21";"61";"00";"00";"OUTDOOR";Paseo (near Governor's Palace)
"0005";"6001";"070F";"00";"2E";"00";"00";"OUTDOOR";Uzo
"F000";"9004";"0710";"02";"5E";"02";"00";"OUTDOOR";Paseo Spaceport
"C004";"A003";"0711";"27";"DC";"02";"00";"OUTDOOR";Casba
"0007";"4004";"0712";"22";"25";"03";"00";"OUTDOOR";Sopia
"3001";"2001";"0813";"22";"25";"03";"00";"OUTDOOR";Skray - surface
"1003";"3001";"0814";"31";"1C";"01";"00";"OUTDOOR";Twintown - surface
"8005";"A000";"0915";"28";"6B";"00";"00";"OUTDOOR";Skray
"8001";"A001";"0916";"28";"87";"02";"00";"OUTDOOR";Twintown
"7001";"2002";"0A17";"0F";"1C";"01";"00";"OUTDOOR";Air Castle
"6004";"A004";"0000";"00";"DC";"00";"04";"DUNGEON";Medusa's Cave
"A000";"1002";"0405";"00";"DE";"00";"04";"DUNGEON";Gothic Passageway
"5002";"A000";"0507";"00";"2E";"02";"04";"DUNGEON";Gothic Passageway (Gothic entrance)
"1007";"8000";"0000";"00";"5A";"00";"04";"DUNGEON";Baya Marlay Cave
"C002";"3006";"0000";"01";"D2";"00";"05";"DUNGEON";Triada Prison
"4006";"A000";"0404";"02";"5E";"00";"02";"DUNGEON";Camineet Warehouse
"A000";"7004";"050A";"02";"12";"01";"02";"DUNGEON";Avion Warehouse
"9001";"7004";"050A";"02";"DE";"00";"02";"DUNGEON";Avion Warehouse (Dr. Mad's side)
"A001";"B005";"0000";"03";"DD";"02";"01";"DUNGEON";Medusa Tower #-1
"A001";"B005";"0000";"04";"D8";"00";"01";"DUNGEON";Medusa Tower
"A001";"B005";"0000";"05";"6D";"02";"01";"DUNGEON";Medusa Tower #2
"A001";"B005";"0000";"06";"C2";"03";"01";"DUNGEON";Medusa Tower #3
"A001";"B005";"0000";"06";"33";"02";"01";"DUNGEON";Medusa Tower #3 (Man)
"A001";"B005";"0000";"07";"49";"00";"01";"DUNGEON";Medusa Tower #4
"A001";"B005";"0000";"07";"A7";"01";"01";"DUNGEON";Medusa Tower #4 (Man)
"A001";"B005";"0000";"08";"63";"02";"01";"DUNGEON";Medusa Tower #5
"0006";"2001";"0000";"08";"2E";"00";"01";"DUNGEON";Baya Marlay #-3
"0006";"2001";"0000";"08";"91";"00";"01";"DUNGEON";Baya Marlay #-3 (Man)
"A001";"B005";"0000";"09";"51";"02";"01";"DUNGEON";Medusa Tower #6
"0006";"2001";"0000";"09";"8A";"01";"01";"DUNGEON";Baya Marlay #-2
"A001";"B005";"0000";"0A";"44";"03";"01";"DUNGEON";Medusa Tower #7
"0006";"2001";"0000";"0A";"91";"00";"01";"DUNGEON";Baya Marlay #-1
"0006";"2001";"0000";"0B";"B9";"00";"01";"DUNGEON";Baya Marlay
"0006";"2001";"0000";"0C";"DE";"02";"01";"DUNGEON";Baya Marlay #2
"0006";"2001";"0000";"0D";"B1";"00";"01";"DUNGEON";Baya Marlay #3
"0006";"2001";"0000";"0E";"16";"01";"01";"DUNGEON";Baya Marlay #4
"0006";"2001";"0000";"0F";"6C";"01";"01";"DUNGEON";Baya Marlay #5
"0006";"2001";"0000";"0F";"C4";"01";"01";"DUNGEON";Baya Marlay #5 (Damoa)
"0007";"1004";"0000";"10";"E4";"01";"04";"DUNGEON";Iala Cave #4
"B005";"5000";"0000";"10";"21";"00";"04";"DUNGEON";Naula Cave #4
"B005";"5000";"0000";"10";"64";"01";"04";"DUNGEON";Naula Cave #4 (Cake Shop)
"0007";"1004";"0000";"11";"CE";"02";"04";"DUNGEON";Iala Cave #3
"B005";"5000";"0000";"11";"57";"02";"04";"DUNGEON";Naula Cave #3
"0007";"1004";"0000";"12";"C3";"02";"04";"DUNGEON";Iala Cave #2
"B005";"5000";"0000";"12";"54";"01";"04";"DUNGEON";Naula Cave #2
"0007";"1004";"0000";"13";"DE";"00";"04";"DUNGEON";Iala Cave
"B005";"5000";"0000";"13";"13";"03";"04";"DUNGEON";Naula Cave
"1006";"3002";"0000";"14";"CB";"00";"03";"DUNGEON";Baya Marlay Prison
"A001";"A001";"060C";"15";"D1";"00";"03";"DUNGEON";Drasgow Warehouse
"1006";"3002";"0000";"15";"9C";"01";"03";"DUNGEON";Baya Marlay Jail
"6001";"5004";"050A";"15";"D8";"00";"03";"DUNGEON";Dr. Mad' House
"2001";"5003";"0000";"16";"DE";"00";"04";"DUNGEON";Passageway to Avion Island
"2001";"5003";"0000";"16";"21";"02";"04";"DUNGEON";Passageway to Avion Island (Avion side)
"E007";"1003";"0000";"17";"D7";"00";"02";"DUNGEON";Forgotten Tower
"E007";"1003";"0000";"18";"6C";"01";"02";"DUNGEON";Forgotten Tower #2
"E007";"1003";"0000";"19";"78";"02";"02";"DUNGEON";Forgotten Tower #3
"E007";"1003";"0000";"19";"3E";"00";"02";"DUNGEON";Forgotten Tower #3 (Man)
"E007";"1003";"0000";"1A";"2C";"00";"02";"DUNGEON";Forgotten Tower #4
"E007";"1003";"0000";"1B";"B3";"03";"02";"DUNGEON";Forgotten Tower #5
"0003";"3000";"0101";"1C";"93";"00";"07";"DUNGEON";Mahal Cave #3
"0003";"3000";"0101";"1D";"C7";"03";"07";"DUNGEON";Mahal Cave #2
"0003";"3000";"0101";"1D";"68";"02";"07";"DUNGEON";Mahal Cave #2 (Lutz)
"0003";"3000";"0101";"1E";"69";"01";"07";"DUNGEON";Mahal Cave
"7001";"A000";"070E";"1F";"79";"00";"06";"DUNGEON";Passageway to Paseo Palace #3
"7001";"A000";"070E";"20";"1A";"00";"06";"DUNGEON";Passageway to Paseo Palace #2
"9001";"9001";"070E";"21";"D4";"00";"06";"DUNGEON";Passageway to Paseo Palace
"7001";"A000";"070E";"21";"E6";"00";"06";"DUNGEON";Paseo Palace Dungeon
"3002";"6005";"0101";"22";"AC";"00";"07";"DUNGEON";Tajimu's Cave #3
"3002";"6005";"0101";"23";"C7";"01";"07";"DUNGEON";Tajimu's Cave #2
"3002";"6005";"0101";"24";"D9";"00";"07";"DUNGEON";Tajimu's Cave
"5005";"3007";"0101";"25";"93";"00";"07";"DUNGEON";Casba Cave #3
"5005";"3007";"0101";"26";"A6";"02";"07";"DUNGEON";Casba Cave #2
"5005";"3007";"0101";"27";"D3";"00";"07";"DUNGEON";Casba Cave
"5005";"3007";"0101";"27";"DC";"00";"07";"DUNGEON";Casba Cave (Casba side)
"B000";"B000";"0813";"28";"23";"02";"0A";"DUNGEON";Passageway to Skray
"1003";"1001";"0814";"28";"DD";"00";"0A";"DUNGEON";Passageway to Twintown
"9004";"B007";"0202";"29";"49";"02";"0A";"DUNGEON";Guaron Morgue #2
"9004";"B007";"0202";"2A";"DD";"03";"0A";"DUNGEON";Guaron Morgue
"D002";"7000";"0202";"2B";"D1";"00";"08";"DUNGEON";Corona Tower
"D002";"7000";"0202";"2C";"78";"02";"08";"DUNGEON";Corona Tower #2
"D002";"7000";"0202";"2D";"58";"02";"08";"DUNGEON";Corona Tower #3
"D002";"7000";"0202";"2E";"E4";"03";"08";"DUNGEON";Corona Tower #4
"D002";"7000";"0202";"2E";"2D";"02";"08";"DUNGEON";Corona Tower #4 (Eclipse Torch)
"F002";"0007";"0202";"2F";"DD";"03";"09";"DUNGEON";Passageway on Dezoris 1
"9005";"2003";"0202";"2F";"5D";"01";"09";"DUNGEON";Passageway on Dezoris 5 #2
"2000";"4002";"0202";"2F";"65";"02";"09";"DUNGEON";Dezorian Cave #6
"5000";"4002";"0202";"2F";"51";"00";"09";"DUNGEON";Dezorian Cave #6 (Dead End)
"7001";"6006";"0202";"30";"ED";"03";"09";"DUNGEON";Passageway on Dezoris 2
"9005";"2003";"0202";"30";"79";"00";"09";"DUNGEON";Passageway on Dezoris 5
"2000";"4002";"0202";"30";"34";"01";"09";"DUNGEON";Dezorian Cave #5
"3002";"5003";"0202";"31";"E2";"01";"09";"DUNGEON";Passageway on Dezoris 4
"2000";"4002";"0202";"31";"12";"03";"09";"DUNGEON";Dezorian Cave #4
"9000";"3005";"0202";"32";"DB";"00";"09";"DUNGEON";Passageway on Dezoris 3
"2000";"4002";"0202";"32";"25";"00";"09";"DUNGEON";Dezorian Cave #3
"2000";"4002";"0202";"33";"55";"00";"09";"DUNGEON";Dezorian Cave #2
"5000";"4002";"0202";"34";"D3";"00";"09";"DUNGEON";Dezorian Cave
"7001";"0001";"0A17";"35";"94";"02";"06";"DUNGEON";Air Castle Dungeon #5
"7001";"0001";"0A17";"36";"B4";"01";"06";"DUNGEON";Air Castle Dungeon #4
"7001";"0001";"0A17";"37";"84";"00";"06";"DUNGEON";Air Castle Dungeon #3
"7001";"0001";"0A17";"38";"64";"02";"06";"DUNGEON";Air Castle Dungeon #2
"7001";"0001";"0A17";"39";"D6";"00";"06";"DUNGEON";Air Castle Dungeon
"7001";"0001";"0A17";"39";"CC";"03";"06";"DUNGEON";Air Castle Dungeon (LaShiec)
"E003";"7006";"0202";"3A";"DD";"00";"0A";"DUNGEON";Aeroprism Cave
"E003";"7006";"0202";"3A";"97";"01";"0A";"DUNGEON";Aeroprism Cave (Otegami Chie-chan)
"1006";"3002";"0000";"3B";"98";"02";"0B";"DUNGEON";Credits #2
"1006";"3002";"0000";"3C";"F7";"00";"03";"DUNGEON";Credits
